,shlp_type,wochentagsfaktor
0,EFH,1.000
1,EFH,1.000
2,EFH,1.000
3,EFH,1.000
4,EFH,1.000
5,EFH,1.000
6,EFH,1.000
7,MFH,1.000
8,MFH,1.000
9,MFH,1.000
10,MFH,1.000
11,MFH,1.000
12,MFH,1.000
13,MFH,1.000
14,GMK,1.070
15,GMK,1.037
16,GMK,0.993
17,GMK,0.995
18,GMK,1.066
19,GMK,0.936
20,GMK,0.903
21,GPD,1.021
22,GPD,1.087
23,GPD,1.072
24,GPD,1.056
25,GPD,1.012
26,GPD,0.900
27,GPD,0.851
28,GHA,1.036
29,GHA,1.023
30,GHA,1.025
31,GHA,1.030
32,GHA,1.025
33,GHA,0.967
34,GHA,0.893
35,GBD,1.105
36,GBD,1.086
37,GBD,1.038
38,GBD,1.062
39,GBD,1.027
40,GBD,0.763
41,GBD,0.898
42,GKO,1.035
43,GKO,1.052
44,GKO,1.045
45,GKO,1.049
46,GKO,0.988
47,GKO,0.886
48,GKO,0.944
49,GBH,0.977
50,GBH,1.039
51,GBH,1.003
52,GBH,1.016
53,GBH,1.002
54,GBH,1.004
55,GBH,0.958
56,GGA,0.932
57,GGA,0.989
58,GGA,1.003
59,GGA,1.011
60,GGA,1.018
61,GGA,1.036
62,GGA,1.009
63,GBA,1.085
64,GBA,1.121
65,GBA,1.077
66,GBA,1.135
67,GBA,1.140
68,GBA,0.485
69,GBA,0.958
70,GWA,1.246
71,GWA,1.261
72,GWA,1.271
73,GWA,1.243
74,GWA,1.128
75,GWA,0.388
76,GWA,0.462
77,GGB,0.990
78,GGB,0.963
79,GGB,1.051
80,GGB,1.055
81,GGB,1.030
82,GGB,0.977
83,GGB,0.936
84,GMF,1.035
85,GMF,1.052
86,GMF,1.045
87,GMF,1.049
88,GMF,0.988
89,GMF,0.886
90,GMF,0.944
91,GHD,1.030
92,GHD,1.030
93,GHD,1.020
94,GHD,1.030
95,GHD,1.010
96,GHD,0.930
97,GHD,0.940
