,parameter_a,parameter_b,parameter_c,parameter_d,building_class,shlp_type,wind_impact
0,3.2279446000,-37.4214800000,6.2222288000,0.0828441000,1,EFH,1
1,3.2107659000,-37.4178801000,6.2024000000,0.0865217000,2,EFH,1
2,3.1935978000,-37.4142478000,6.1824021000,0.0901957000,3,EFH,1
3,3.1764404000,-37.4105832000,6.1622336000,0.0938662000,4,EFH,1
4,3.1592940000,-37.4068860000,6.1418926000,0.0975329000,5,EFH,1
5,3.1421588000,-37.4031563000,6.1213773000,0.1011959000,6,EFH,1
6,3.1250349000,-37.3993941000,6.1006859000,0.1048550000,7,EFH,1
7,3.1079226000,-37.3955994000,6.0798166000,0.1085103000,8,EFH,1
8,3.0908222000,-37.3917722000,6.0587677000,0.1121617000,9,EFH,1
9,3.0737337000,-37.3879125000,6.0375374000,0.1158091000,10,EFH,1
10,3.1850191000,-37.4124155000,6.1723179000,0.0920309000,11,EFH,1
11,3.0890721000,-37.1849497000,5.7137959000,0.1071295000,1,EFH,0
12,3.0722215000,-37.1842844000,5.6975234000,0.1108074000,2,EFH,0
13,3.0553842000,-37.1836374000,5.6810825000,0.1144800000,3,EFH,0
14,3.0385547000,-37.1829908000,5.6644869000,0.1181514000,4,EFH,0
15,3.0217399000,-37.1823600000,5.6477170000,0.1218169000,5,EFH,0
16,3.0049303000,-37.1817595000,5.6308191000,0.1254825000,6,EFH,0
17,2.9881355000,-37.1811865000,5.6137482000,0.1291431000,7,EFH,0
18,2.9713479000,-37.1806299000,5.5965242000,0.1328015000,8,EFH,0
19,2.9545709000,-37.1800956000,5.5791367000,0.1364576000,9,EFH,0
20,2.9378047000,-37.1795853000,5.5615838000,0.1401107000,10,EFH,0
21,3.0469695000,-37.1833141000,5.6727847000,0.1163157000,11,EFH,0
22,2.5736652000,-35.0169442000,6.1318140000,0.0996851000,1,MFH,1
23,2.5516882000,-35.0234219000,6.1680699000,0.1087080000,2,MFH,1
24,2.5297380000,-35.0300145000,6.2051109000,0.1177216000,3,MFH,1
25,2.5078170000,-35.0367363000,6.2430159000,0.1267238000,4,MFH,1
26,2.4859161000,-35.0435978000,6.2818214000,0.1357193000,5,MFH,1
27,2.4640414000,-35.0505874000,6.3215140000,0.1447056000,6,MFH,1
28,2.4421941000,-35.0577078000,6.3621285000,0.1536820000,7,MFH,1
29,2.4203748000,-35.0649619000,6.4036973000,0.1626484000,8,MFH,1
30,2.3985840000,-35.0723524000,6.4462530000,0.1716044000,9,MFH,1
31,2.3768224000,-35.0798821000,6.4898289000,0.1805499000,10,MFH,1
32,2.5187775000,-35.0333754000,6.2240634000,0.1222227000,11,MFH,1
33,2.4428072000,-34.7321438000,5.7347347000,0.1236492000,1,MFH,0
34,2.4207684000,-34.7277917000,5.7668252000,0.1326318000,2,MFH,0
35,2.3987552000,-34.7234878000,5.7996446000,0.1416084000,3,MFH,0
36,2.3767684000,-34.7192333000,5.8332162000,0.1505787000,4,MFH,0
37,2.3548083000,-34.7150299000,5.8675639000,0.1595427000,5,MFH,0
38,2.3328756000,-34.7108776000,5.9027152000,0.1685000000,6,MFH,0
39,2.3109709000,-34.7067802000,5.9386943000,0.1774504000,7,MFH,0
40,2.2890947000,-34.7027395000,5.9755295000,0.1863939000,8,MFH,0
41,2.2672475000,-34.6987574000,6.0132489000,0.1953302000,9,MFH,0
42,2.2454319000,-34.6948549000,6.0518709000,0.2042586000,10,MFH,0
43,2.3877618000,-34.7213605000,5.8164304000,0.1460936000,11,MFH,0
44,3.1177248000,-35.8715062000,7.5186829000,0.0343301000,0,GMK,1
45,2.7882424000,-34.8806130000,6.5951899000,0.0540329000,0,GMK,0
46,3.8500000000,-37.0000000000,10.2405021000,0.0469243000,0,GPD,1
47,2.5784173000,-34.7321261000,6.4805035000,0.1407729000,0,GPD,0
48,4.0196902000,-37.8282037000,8.1593369000,0.0472845000,0,GHA,1
49,3.5811214000,-36.9650065000,7.2256947000,0.0448416000,0,GHA,0
50,3.7500000000,-37.5000000000,6.8000000000,0.0609113000,0,GBD,1
51,2.9177027000,-36.1794117000,5.9265162000,0.1151912000,0,GBD,0
52,3.4428943000,-36.6590504000,7.6083226000,0.0746850000,0,GKO,1
53,2.7172288000,-35.1412563000,7.1303395000,0.1418472000,0,GKO,0
54,2.4595181000,-35.2532123000,6.0587001000,0.1647370000,0,GBH,1
55,2.0102472000,-35.2532123000,6.1544406000,0.3294741000,0,GBH,0
56,2.8195656000,-36.0000000000,7.7368518000,0.1572810000,0,GGA,1
57,2.2850165000,-36.2878584000,6.5885126000,0.3150535000,0,GGA,0
58,0.9315889000,-33.3500000000,5.7212303000,0.6656494000,0,GBA,1
59,0.6522601000,-37.1729781000,5.5973647000,0.8220629000,0,GBA,0
60,1.0535875000,-35.3000000000,4.8662747000,0.6811042000,0,GWA,1
61,0.7657290000,-36.0237911000,4.8662747000,0.8049425000,0,GWA,0
62,3.6017736000,-37.8825368000,6.9836070000,0.0548262000,0,GGB,1
63,3.3904645000,-39.2875216000,4.4905740000,0.0834783000,0,GGB,0
64,2.5187775000,-35.0333754000,6.2240634000,0.0977782000,0,GMF,1
65,2.3877618000,-34.7213605000,5.8164304000,0.1168748000,0,GMF,0
66,2.5792510140,-35.6816144000,6.6857976120,0.1995540990,0,GHD,1
67,3.0084345560,-36.6078452700,7.3211869530,0.1549660310,0,GHD,0
